strassenna,strassenkl,strassennr,Anzahl Unfälle
Neuhofstrasse,G3,"961","0"
Anschwiler Weg,W2,"906","0"
Rosenbüchelstrasse,G2,"1024","0"
St.Georgen-Strasse,G3,"461","0"
Mingerstrasse,G2,"629","0"
Rosenfeldweg,G2,"389","0"
Hompelistrasse,G2,"222","0"
Taeuberweg,W2,"1031","0"
Falkenburgstrasse,G2,"106","0"
Brauersteig,W1,"718","0"
Zweibruggenmühlestrasse,G2,"1021","0"
Kreuzhofweg,W2,"264","0"
Notkerseggweg,W2,"975","0"
Hörlenweg,W2,"219","0"
Billenbergweg,W2,"42","0"
Lochstrasse,G3,"292","0"
Spiltrücklistrasse,G2,"455","0"
Buchsteig,W1,"71","0"
Solitüdenweg,W2,"444","0"
Gübsenseeweg,G3,"170","0"
Philosophentalweg,W2,"1060","0"
Birnbäumentreppe,W1,"716","0"
Frongartenstrasse,G2,"129","0"
Wilenstrasse,G3,"537","0"
Spisergasse,G2,"456","1"
Lerchentalstrasse,G2,"282","0"
Sitterstrandweg,W2,"866","0"
Freibergweg,W2,"750","0"
Kunklerstrasse,G2,"613","0"
Gaiserwaldstrasse,G2,"633","0"
Klubhausstrasse,G2,"255","0"
Galgentobelweg,G3,"1058","0"
Heinrichsbadweg,G3,"776","0"
Volksbadstrasse,G2,"512","0"
Riethüsliweg,G2,"1064","0"
Tempelackerstrasse,W1,"488","0"
Hätterenstrasse,G3,"623","0"
Gerbestrasse,G2,"140","0"
Waldauweg,W2,"895","0"
Biderstrasse,G1,"579","0"
Teufener Strasse,G1,"489","0"
Ginsterweg,W2,"1069","0"
Rosenheimstrasse,G2,"391","0"
Friedhofweg,W1,"753","0"
Wolfganghofweg,W2,"949","0"
Pappelweg,G2,"356","0"
Spühlweg,W2,"1067","0"
Piccardweg,W2,"1072","0"
Rosenbergweg,W1,"655","0"
Altwinkelnweg,W1,"706","0"
Ahornstrasse,G2,"9","0"
Ahornstrasse,G2,"9","0"
Falkensteinweg,W2,"1073","0"
Volksbadstrasse,G2,"512","0"
Böcklinstrasse,G2,"53","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Oberer Fidesweg,W2,"820","0"
Altwinkelnweg,W1,"706","0"
Unterer Graben,KS1,KS2a,"3"
Martinsbruggstrasse,KS1,KS6b,"1"
St.Jakob-Strasse,KS1,KS3b,"10"
A1,NS,A1,"1"
Feldlistrasse,KS1,KS56a,"2"
Zürcher Strasse,KS1,KS2c,"0"
Rosenbergstrasse,NS,BS2b,"1"
Herisauer Strasse,NS,BS203,"0"
St.Leonhard-Strasse,NS,BS4a,"1"
Splügenstrasse,NS,BS58,"0"
Splügenstrasse,NS,BS58,"0"
Splügenstrasse,KS1,KS58,"0"
Rosenbergstrasse,KS1,KS2b,"4"
