strassenna,strassenkl,strassennr,Anzahl Unfälle
Falkensteinstrasse,G2,"107","0"
Spyristrasse,G2,"460","0"
Storchenstrasse,G2,"476","0"
Bachstrasse,G1,"593","1"
Langackerstrasse,G2,"273","0"
Kantiweg,W1,"694","0"
Demutweg,W1,"730","0"
Blumenaustrasse,G2,"49","0"
Girtannerstrasse,G2,"146","0"
Paradiesstrasse,G2,"357","0"
Falkenburgweg,W1,"740","0"
Kornhausstrasse,G1,"259","4"
Schillerstrasse,G2,"411","0"
Schönaustrasse,G1,"420","0"
Straubenzellstrasse,G2,"477","0"
Kräuterweg,W2,"698","0"
Stephanshornstrasse,G2,"473","0"
Hofweg,W2,"999","0"
Lustgartenstrasse,G2,"296","0"
Pestalozziweg,W1,"830","0"
Sömmerlistrasse,G2,"442","0"
Büchelstrasse,G2,"74","0"
Brauerstrasse,G2,"59","0"
Achslenweg,W2,"2","0"
Huebweg,W2,"922","0"
Gerhardtweg,W2,"1038","0"
Kornhausstrasse,G1,"259","2"
Huebstrasse,G2,"224","0"
Waldackerweg,W2,"894","0"
Freudenbergweg,W2,"913","0"
Schorenplatz,G2,"862","0"
Buchenweg,W1,"725","0"
Schneebergstrasse,G2,"417","0"
Lokremisenweg,W1,"1037","0"
Berneggtreppe,W1,"713","0"
Scheibenackerweg,W1,"854","0"
Tambourenweg,W2,"884","0"
Storchenstrasse,G3,"476","0"
Hüttenwiesstrasse,G3,"586","0"
Kreuzbleicheweg,W1,"962","0"
Studengüggiweg,W2,"939","0"
Passerellenweg,W2,"827","0"
Stadtparkweg,W1,"993","0"
Gitzibüelweg,W2,"682","0"
Berneggtreppe,W1,"713","0"
Obere Felsenstrasse,G2,"344","0"
Felsentreppe,W1,"743","0"
Jüchstrasse,G3,"239","0"
Brandstrasse,G2,"58","0"
Lochweg,W2,"969","0"
Rorschacher Strasse,G1,"386","1"
Tutilostrasse,G2,"500","0"
Ackerstrasse,G2,"3","0"
Berneggtreppe,W1,"713","0"
Farbgutweg,W2,"679","0"
Höchster Weg,W3,"691","0"
Joosrütistrasse,G3,"237","0"
St.Georgen-Strasse,G2,"461","0"
Im Hölzli,G2,"230","0"
Lukasmühleweg,W2,"1027","0"
Grünbergstrasse,G2,"165","0"
Steinachstrasse,G1,"470","0"
Staubhusenstrasse,W2,"878","0"
Berneggstrasse,G2,"38","0"
Gübsenstrasse,G3,"171","0"
Gübsenseeweg,W2,"170","0"
Dufourstrasse,G1,"91","0"
Altwinkelnstrasse,G2,"14","0"
Bleichestrasse,G2,"48","0"
Raiffeisenplatz,G2,"1029","1"
Spinnereistrasse,G1,"572","2"
Wattbachstrasse,G2,"526","0"
Kräzernstrasse,G1,"260","1"
Kapfwaldweg,G3,"244","0"
Schillerstrasse,G2,"411","0"
Freudenbergstrasse,W2,"751","0"
Chanzlenweg,W2,"677","0"
Kellersholzweg,W2,"696","0"
Bachweidweg,W3,"669","0"
Langbruggweg,W3,"968","0"
Letzistrasse,G2,"286","0"
Bellonatalweg,W2,"672","0"
Wolfgangstrasse,G2,"540","0"
Kräzernstrasse,G2,"260","0"
Spiseggweg,W2,"991","0"
Schiltackerweg,W2,"856","0"
Langgasse,G1,"274","0"
Neuhofweg,G3,"336","0"
Mühlenstrasse,G3,"324","0"
Rütistrasse,G3,"395","0"
Wallstrasse,G2,"521","0"
Herisauer Strasse,G1,"203","2"
Bahnhof-Unterführung,W1,"670","0"
Espentobelstrasse,G3,"102","0"
Peter-und-Paul-Weg,W2,"978","0"
Egghöhenweg,W2,"738","0"
Gartenstrasse,G1,"134","1"
Schreinerweg,W2,"987","0"
Hinterberg,G2,"205","0"
Ziegeleiweg,W1,"1048","0"
St.Georgen-Strasse,G1,"461","6"
Hinterbergstrasse,W1,"206","0"
Solitüdenweg,G3,"444","0"
Rechenwaldstrasse,G1,"373","0"
Kirchlistrasse,G2,"251","1"
Wildparkweg,W2,"998","0"
Wilenweg,W2,"904","0"
Frohbergstrasse,G1,"559","0"
Güterbahnhofstrasse,G2,"916","0"
Moosmühlestrasse,W2,"320","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W1,"949","0"
Wolfganghofweg,W2,"949","0"
Wolfganghofweg,W2,"949","0"
Oberer Fidesweg,W2,"820","0"
Sturzeneggstrasse,G3,"480","0"
Sturzeneggstrasse,G3,"480","0"
Gübsenweg,W1,"915","0"
Tröckneturmweg,W2,"1076","0"
Spühlstrasse,G2,"1066","0"
Kolumbanstrasse,KS1,KS59c,"1"
A1,NS,A1,"0"
Talweg,W2,"482","0"
Tablatweg,W1,"941","0"
Berneggtreppe,W1,"713","0"
Berneggstrasse,G2,"38","0"
Kasernenweg,W1,"658","0"
Hebelstrasse,W1,"194","0"
Lilienthalstrasse,G3,"1002","0"
Hirtenstrasse,G2,"211","0"
Hadwigstrasse,G2,"175","0"
Güetlistrasse,G3,"173","0"
Schäfliweg,W1,"847","0"
Greifenstrasse,G3,"159","0"
Oberhofstettenweg,G3,"632","0"
Oberhofstettenweg,W2,"632","0"
Reherweg,W1,"617","0"
Dunantstrasse,G2,"615","0"
Goldbrunnenstrasse,G2,"152","0"
Oberhaldenweg,W1,"824","0"
Pelikanstrasse,G2,"362","0"
Kalkofenweg,W2,"789","0"
Oberer Kirchliweg,G3,"348","0"
Spiseggweg,W2,"991","0"
Hügelweg,W1,"786","0"
Obere Friedhofstrasse,G2,"558","0"
Flaschnerweg,G2,"117","0"
Grünbergtreppe,W1,"763","0"
Freibergsträsslein,G3,"749","0"
Solitüdenweg,W2,"444","0"
Schäfliweg,W2,"847","0"
Piccardstrasse,G2,"648","0"
Zschokkestrasse,G2,"549","0"
Grenzstrasse,G2,"161","0"
Kesslerstrasse,G1,"249","0"
Pestalozzistrasse,G2,"363","0"
Varnbüelstrasse,G1,"510","2"
Tellstrasse,G2,"487","1"
Waldrainstrasse,G3,"590","0"
Holzstrasse,G1,"221","0"
Glockengasse,G2,"150","0"
Gotthelfstrasse,G1,"157","0"
