;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
566;C5F852F2EB5E44F4E053DDB9D80A198F;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42754024778736,9.377565236792275;SG;3203;St. Gallen;2021;5;2021-05;Mai;Dienstag;16;16h-17h
588;C87B0B20A59E4704E053DDB9D80A27EA;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.41893528366046,9.353524322626916;SG;3203;St. Gallen;2021;7;2021-07;Juli;Dienstag;19;19h-20h
589;A246EA876BCBB0D0E0430A865E33B0D0;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42235399094089,9.369210338258794;SG;3203;St. Gallen;2011;4;2011-04;April;Dienstag;16;16h-17h
594;A20C480C8A9B0539E05328B9D80ACC13;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42597078160211,9.375121734890783;SG;3203;St. Gallen;2020;3;2020-03;März;Freitag;13;13h-14h
599;CFF53F18F41F6E5FE053DDB9D80A6BE5;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42648072287757,9.376903536041524;SG;3203;St. Gallen;2021;7;2021-07;Juli;Samstag;1;01h-02h
601;B3F708A6B1EE0092E0430A8394270092;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.43747320714252,9.405760548092623;SG;3203;St. Gallen;2011;12;2011-12;Dezember;Freitag;15;15h-16h
602;B3F710C2C3BC007AE0430A839427007A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.432637661463794,9.406536466374204;SG;3203;St. Gallen;2011;12;2011-12;Dezember;Freitag;17;17h-18h
608;B7BFE5DA053F01B4E0430A83942701B4;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.42829498317976,9.384049365359303;SG;3203;St. Gallen;2012;1;2012-01;Januar;Montag;17;17h-18h
610;DA8B2AB061A40126E0430A8394274F20;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;andere;47.431027263208215,9.379932989100523;SG;3203;St. Gallen;2013;3;2013-03;März;Freitag;0;00h-01h
622;DF7E33DDF8FD02DEE0430A839427B721;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4371746921998,9.405855595144773;SG;3203;St. Gallen;2013;4;2013-04;April;Mittwoch;17;17h-18h
636;E0C185360F6401EEE0430A839427259D;at0;Schleuder- oder Selbstunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43846477698781,9.417771559921038;SG;3203;St. Gallen;2013;5;2013-05;Mai;Montag;22;22h-23h
640;AB18836BA3F769D6E05328B9D80AC0A5;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42193636119284,9.371051079450845;SG;3203;St. Gallen;2020;7;2020-07;Juli;Freitag;15;15h-16h
653;62664F0F5969019AE0530A839427CBAE;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.42628902831771,9.375995048151871;SG;3203;St. Gallen;2017;11;2017-11;November;Samstag;22;22h-23h
654;62085960B06D0168E0530A839427DE2A;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.43732964979342,9.404150741782052;SG;3203;St. Gallen;2017;12;2017-12;Dezember;Dienstag;17;17h-18h
669;912D86E13F46BE00E05328B9D80AA514;at2;Auffahrunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.4190153284881,9.353580224220163;SG;3203;St. Gallen;2019;7;2019-07;Juli;Donnerstag;14;14h-15h
671;712D089BAAEA01B0E0530A8394276215;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Hauptstrasse;47.417268635381575,9.3671834435352;SG;3203;St. Gallen;2018;1;2018-01;Januar;Samstag;18;18h-19h
674;A0BACF4ECC93A066E0430A865E33A066;at8;Fussgängerunfall;Unfall mit Leichtverletzten;True;False;Nebenstrasse;47.43082693930269,9.39448365838804;SG;3203;St. Gallen;2011;4;2011-04;April;Montag;12;12h-13h
