name;score;description;category;label;_geom;lat;lng
c2aQC_SZWF8pJL5ApwE_HA;20.086198429882636;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/c2aQC_SZWF8pJL5ApwE_HA""><img style=""width:200px"" src=""https://images.mapillary.com/c2aQC_SZWF8pJL5ApwE_HA/thumb-320.jpg""></a><br>Streetwise Score: 20.086198429882636";2;0;47.4259081,9.3547404;47.4259081;9.3547404
A6I4Z3y9a74hFKXJ5Aebzw;25.643861790753743;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/A6I4Z3y9a74hFKXJ5Aebzw""><img style=""width:200px"" src=""https://images.mapillary.com/A6I4Z3y9a74hFKXJ5Aebzw/thumb-320.jpg""></a><br>Streetwise Score: 25.643861790753743";2;0;47.4254965,9.3533493;47.4254965;9.3533493
-DsCaETUl2aP8AmJ-qfTfw;23.489471117012656;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/-DsCaETUl2aP8AmJ-qfTfw""><img style=""width:200px"" src=""https://images.mapillary.com/-DsCaETUl2aP8AmJ-qfTfw/thumb-320.jpg""></a><br>Streetwise Score: 23.489471117012656";2;0;47.4240513,9.3479407;47.4240513;9.3479407
p6XC1Y3Fgkj6vT4rtldd2g;25.331580492598643;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/p6XC1Y3Fgkj6vT4rtldd2g""><img style=""width:200px"" src=""https://images.mapillary.com/p6XC1Y3Fgkj6vT4rtldd2g/thumb-320.jpg""></a><br>Streetwise Score: 25.331580492598643";2;0;47.4237925,9.3472785;47.4237925;9.3472785
cIYnscn1U6xs5PzBOt2ojQ;28.291506020657945;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/cIYnscn1U6xs5PzBOt2ojQ""><img style=""width:200px"" src=""https://images.mapillary.com/cIYnscn1U6xs5PzBOt2ojQ/thumb-320.jpg""></a><br>Streetwise Score: 28.291506020657945";2;0;47.42352,9.3466136;47.42352;9.3466136
tn64G8QAE0uoLolYCYmK-g;24.615656693223354;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/tn64G8QAE0uoLolYCYmK-g""><img style=""width:200px"" src=""https://images.mapillary.com/tn64G8QAE0uoLolYCYmK-g/thumb-320.jpg""></a><br>Streetwise Score: 24.615656693223354";2;0;47.4212936,9.3385632;47.4212936;9.3385632
o1eY1lKeL81gxCzr9K0m2w;21.761305110547045;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/o1eY1lKeL81gxCzr9K0m2w""><img style=""width:200px"" src=""https://images.mapillary.com/o1eY1lKeL81gxCzr9K0m2w/thumb-320.jpg""></a><br>Streetwise Score: 21.761305110547045";2;0;47.419848,9.3322809;47.419848;9.3322809
ZVmyBP61i_X24rl0FPxZcg;16.73404307567552;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/ZVmyBP61i_X24rl0FPxZcg""><img style=""width:200px"" src=""https://images.mapillary.com/ZVmyBP61i_X24rl0FPxZcg/thumb-320.jpg""></a><br>Streetwise Score: 16.73404307567552";1;-;47.4196015,9.3316185;47.4196015;9.3316185
IVe60-n0q-N-x5U7PrNYzw;23.216721972400965;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/IVe60-n0q-N-x5U7PrNYzw""><img style=""width:200px"" src=""https://images.mapillary.com/IVe60-n0q-N-x5U7PrNYzw/thumb-320.jpg""></a><br>Streetwise Score: 23.216721972400965";2;0;47.4193988,9.3310457;47.4193988;9.3310457
BeYFbxAlu7ZHLWQfsBruRw;24.729931154699063;"<a target=""_blank"" href=""https://www.mapillary.com/map/im/BeYFbxAlu7ZHLWQfsBruRw""><img style=""width:200px"" src=""https://images.mapillary.com/BeYFbxAlu7ZHLWQfsBruRw/thumb-320.jpg""></a><br>Streetwise Score: 24.729931154699063";2;0;47.4359974,9.3979431;47.4359974;9.3979431
