;AccidentUID;AccidentType;AccidentType_de;AccidentSeverityCategory_de;AccidentInvolvingPedestrian;AccidentInvolvingBicycle;RoadType_de;Location;CantonCode;MunicipalityCode;MunicipalityName;AccidentYear;AccidentMonth;Month_Year;AccidentMonth_de;AccidentWeekDay_de;AccidentHour;AccidentHour_text
1001;990669C6A90348A1E05329B9D80A0B71;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.43711972969053,9.391055128881721;SG;3203;St. Gallen;2019;11;2019-11;November;Samstag;17;17h-18h
1056;2FBBBCD6BEF101AAE0530A8394273DAA;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43753588961265,9.406306540942627;SG;3203;St. Gallen;2016;2;2016-02;Februar;Dienstag;18;18h-19h
1094;29D49365D7FB0186E0530A8394278BDD;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43739857097057,9.40591691314418;SG;3203;St. Gallen;2015;12;2015-12;Dezember;Montag;5;05h-06h
1115;394F1E39204801C0E0530A8394276E6C;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.441338221170675,9.4028002889372;SG;3203;St. Gallen;2016;7;2016-07;Juli;Dienstag;10;10h-11h
1137;BC36DFD9644801DAE0430A83942701DA;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.42185746700016,9.37200267113586;SG;3203;St. Gallen;2012;3;2012-03;März;Dienstag;18;18h-19h
1154;BF349CB52EA00034E0430A8394276660;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.41333520154953,9.363515341630924;SG;3203;St. Gallen;2012;3;2012-03;März;Freitag;18;18h-19h
1210;BC75DB7B36C6BB7FE053DDB9D80AED46;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.45077119025075,9.398307329664942;SG;3203;St. Gallen;2021;1;2021-01;Januar;Freitag;13;13h-14h
1224;C80230AF3803C64CE053DDB9D80AE1EB;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.422102187246516,9.355692980117244;SG;3203;St. Gallen;2021;6;2021-06;Juni;Montag;11;11h-12h
1259;810EB51A179474E8E05328B9D80AAA54;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.430808010666105,9.393475305024433;SG;3203;St. Gallen;2018;12;2018-12;Dezember;Sonntag;18;18h-19h
1262;81ECD06FDFFF2ADAE05328B9D80AD645;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.42648050066973,9.376916785454387;SG;3203;St. Gallen;2019;1;2019-01;Januar;Mittwoch;13;13h-14h
1273;7AB03FCCA673ABD0E05328B9D80AD47F;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.421357471573174,9.36422963804192;SG;3203;St. Gallen;2018;9;2018-09;September;Montag;17;17h-18h
1364;3FAA456806760006E0530A8394272E14;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43536754841476,9.386124507607656;SG;3203;St. Gallen;2016;10;2016-10;Oktober;Sonntag;18;18h-19h
1379;81374B4485205F45E05328B9D80A1E14;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43750127811643,9.4062256988457;SG;3203;St. Gallen;2018;12;2018-12;Dezember;Freitag;14;14h-15h
1390;81376F3EB6DD86C0E05328B9D80AAD96;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.42646673965632,9.376664391795009;SG;3203;St. Gallen;2019;1;2019-01;Januar;Donnerstag;15;15h-16h
1407;30C53ABB62A902E6E0530A83942760A9;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.40653397365394,9.320901560588327;SG;3203;St. Gallen;2016;2;2016-02;Februar;Mittwoch;4;04h-05h
1485;D2DCCA52C5880006E0430A8394278516;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43768304978757,9.402943837927138;SG;3203;St. Gallen;2012;12;2012-12;Dezember;Donnerstag;20;20h-21h
1490;550D89D2D3AE000EE0530A8394273403;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42163542541225,9.368601000936788;SG;3203;St. Gallen;2017;6;2017-06;Juni;Freitag;15;15h-16h
1571;3551C986E1050030E0530A83942781CE;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43732964979342,9.404150741782052;SG;3203;St. Gallen;2016;5;2016-05;Mai;Montag;10;10h-11h
1574;18B823BD547B01BAE0530A839427073A;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42260251265075,9.365640097118794;SG;3203;St. Gallen;2015;5;2015-05;Mai;Montag;18;18h-19h
1640;CFF53F18EF406E5FE053DDB9D80A6BE5;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.40815151041267,9.32928145670398;SG;3203;St. Gallen;2021;8;2021-08;August;Montag;5;05h-06h
1643;8E7DBBD4C897C8FAE05328B9D80AF389;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.426791725301875,9.383026613307827;SG;3203;St. Gallen;2019;6;2019-06;Juni;Freitag;8;08h-09h
1667;1424B675183B0126E0530A8394273D91;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;True;Nebenstrasse;47.41414123049816,9.356161805702861;SG;3203;St. Gallen;2015;3;2015-03;März;Donnerstag;15;15h-16h
1687;45B7DF9664D000E0E0530A839427EB1A;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.43509358547637,9.40231786322196;SG;3203;St. Gallen;2016;12;2016-12;Dezember;Samstag;14;14h-15h
1716;F18321FBB6BE01B2E0430A8394275576;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.4047781613563,9.312689602784515;SG;3203;St. Gallen;2014;1;2014-01;Januar;Donnerstag;17;17h-18h
1720;CD95D513527F0182E0430A839427FA90;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42347674770464,9.36824355002054;SG;3203;St. Gallen;2012;10;2012-10;Oktober;Montag;15;15h-16h
1792;1119668EEA8A020AE0530A8394275E5C;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.41937343802456,9.354229377423415;SG;3203;St. Gallen;2015;2;2015-02;Februar;Donnerstag;21;21h-22h
1794;F9E3B11EBAAA01AAE0430A839427C34E;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.439561299458184,9.395109704573812;SG;3203;St. Gallen;2014;5;2014-05;Mai;Freitag;16;16h-17h
1796;3B4ABE73AC870062E0530A839427A7AD;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Nebenstrasse;47.432536188132374,9.390767638843126;SG;3203;St. Gallen;2016;8;2016-08;August;Dienstag;17;17h-18h
1802;14C6691D81720148E0530A839427BB00;at8;Fussgängerunfall;Unfall mit Schwerverletzten;True;False;Hauptstrasse;47.42948169916541,9.38890550418717;SG;3203;St. Gallen;2015;4;2015-04;April;Donnerstag;8;08h-09h
