Geo Point;Geo Shape;Behinderte Grad;Kategorie;Bezeichnung;Zusatz;Adressezusatz;Firma;Vorname;Name;Adresse;Ort;Land;Öffnungszeiten;Information;Behinderte Info;Telefon;Mobil;Fax;PLZ
47.42545702319039,9.37577578175226;"{""coordinates"": [9.37577578175226, 47.42545702319039], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Amtshaus;;;;;;Neugasse 1/3/5/25;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245121;;;9004
47.425475280356814,9.375816635577577;"{""coordinates"": [9.375816635577577, 47.425475280356814], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Direktion Planung und Bau;;Amtshaus;;;;Neugasse 1;St.Gallen;Schweiz;;;Lift mit Sprachausgabe. Personen mit Rollstuhl bitte Eingang Marktgasse benutzen. WC hindernisfrei;+41712245571;;;9004
47.419978509710894,9.369361756019705;"{""coordinates"": [9.369361756019705, 47.419978509710894], ""type"": ""Point""}";bedingt behindertengerecht;Stadtverwaltung;Betreibungsamt;;;;;;Unterstrasse 14;St.Gallen;Schweiz;;;Zugang von der Vadianstrasse, bitte klingeln;+41712245689;;;9001
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Direktion Inneres und Finanzen;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245321;;;9001
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Kontrollstelle für die Krankenversicherung;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245357;;;9001
47.42532684191481,9.37543258717347;"{""coordinates"": [9.37543258717347, 47.42532684191481], ""type"": ""Point""}";;Stadtverwaltung;Büro für Landwirtschaft;;Amtshaus;;;;Neugasse 3;St.Gallen;Schweiz;;;;+41712245736;;;9004
47.42395696137776,9.370761001200247;"{""coordinates"": [9.370761001200247, 47.42395696137776], ""type"": ""Point""}";;Stadtverwaltung;Informatikdienste;;Rathaus;;;;Poststrasse 28;St.Gallen;Schweiz;;;;+41712245830;;;9001
47.42511457804304,9.375234027758225;"{""coordinates"": [9.375234027758225, 47.42511457804304], ""type"": ""Point""}";;Stadtverwaltung;Schule und Musik;;Amtshaus;;;;Neugasse 25;St.Gallen;Schweiz;;;;+41712245311;;;9004
47.4222102030655,9.369192595850242;"{""coordinates"": [9.369192595850242, 47.4222102030655], ""type"": ""Point""}";nicht behindertengerecht;Stadtverwaltung;Schulpsychologischer Dienst;;Gaiserbahnhof;;;;Bahnhofplatz 7;St.Gallen;Schweiz;;;keine hindernisfreie Toilette;+41712245436;;;9001
47.42257461100732,9.373087238741952;"{""coordinates"": [9.373087238741952, 47.42257461100732], ""type"": ""Point""}";hindernisfrei;Stadtverwaltung;Kinder- und Jugendzahnklinik;;;;;;Schreinerstrasse 1;St.Gallen;Schweiz;;;mit Lift und WC;+41712246300;;;9000
